Cannot access the GPS. Please 	Cannot access the GPS. Please 
verify that your GPS is plugged in.	verify that your GPS is plugged in.
 If using Bluetooth, check that the device is switched on	 If using Bluetooth, check that the device is switched on
 and is transmitting.\n\n	 and is transmitting.\n\n
Error code: ^1	Error code: ^1
Database Scan Results	Database Scan Results
Runway Dimension Error	Runway Dimension Error
Runway Length and Width must be numeric values. 	Runway Length and Width must be numeric values. 
If you wish to specify metres, add a single 'm' 	If you wish to specify metres, add a single 'm' 
immediately after the number (e.g. 42m).	immediately after the number (e.g. 42m).
The GPS is still running, are you sure 	The GPS is still running, are you sure 
you want to exit?	you want to exit?
Yes	Yes
No	No
Bluetooth Not Supported	Bluetooth Not Supported
This device does not have Bluetooth support.	This device does not have Bluetooth support.
Expansion Not Supported	Expansion Not Supported
This device does not have Expansion Card support.	This device does not have Expansion Card support.
Garmin iQue Not Supported	Garmin iQue Not Supported
This device does not have the Garmin iQue GPS library.	This device does not have the Garmin iQue GPS library.
Long Task Ahead!	Long Task Ahead!
The system needs to analyse the 	The system needs to analyse the 
system waypoints. This could take a long 	system waypoints. This could take a long 
time (x8 if your database is on a card) and it 	time (x8 if your database is on a card) and it 
cannot be stopped.	cannot be stopped.
ATZ Radius Error	ATZ Radius Error
ATZ Radius must be from 1 to 6nm (1.1 to 6.9 miles or	ATZ Radius must be from 1 to 6nm (1.1 to 6.9 miles or
1.85 to 11.1 km). 	1.85 to 11.1 km). 
Emergency Diversion Failed	Emergency Diversion Failed
Can't locate a suitable airfield!	Can't locate a suitable airfield!
Error in Flight Plan	Error in Flight Plan
The selected flight plan cannot be loaded. It might refer to waypoints	The selected flight plan cannot be loaded. It might refer to waypoints
 missing from the database, or not contain waypoints at all. Please	 missing from the database, or not contain waypoints at all. Please
 check the plan.	 check the plan.
Problems with database	Problems with database
Can't analyse the database. There might not be enough memory, but a more likely cause is that	Can't analyse the database. There might not be enough memory, but a more likely cause is that
 the system database is on an external card - this would take too long to analyse.	 the system database is on an external card - this would take too long to analyse.
Input Error	Input Error
^1 must be 0 to ^2 ^3	^1 must be 0 to ^2 ^3
Too Many Waypoints	Too Many Waypoints
The number of waypoints in a database	The number of waypoints in a database
 is limited to 32767 (this is a PalmOS limitation).	 is limited to 32767 (this is a PalmOS limitation).
Failed to Import Database	Failed to Import Database
Confirm Import	Confirm Import
Are you sure you want to import	Are you sure you want to import
 the ^1 database?	 the ^1 database?
Demo Version	Demo Version
Valid until: XXXMMM	Valid until: XXXMMM
Demo Expired	Demo Expired
This demo version has expired.	This demo version has expired.
Save Flight	Save Flight
Name:	Name:
Flight Exists	Flight Exists
A flight with that name already exists, do you want 	A flight with that name already exists, do you want 
to overwrite it?	to overwrite it?
Notes (Tap to close)	Notes (Tap to close)
Blank	Blank
New	New
Goto	Goto
